Acousticness,Comments,Danceability,Duration_ms,Energy,Instrumentalness,Key,Likes,Liveness,Loudness,Speechiness,Stream,Tempo,Valence,Views
0.0371,199113.0,0.78,404107.0,0.768,2.34e-06,6.0,5152714.0,0.518,-4.325,0.238,799979337.0,80.063,0.507,623027280.0
0.241,599124.0,0.749,263373.0,0.925,0.0,10.0,12696568.0,0.52,-5.034,0.227,1115478746.0,86.989,0.641,2539156924.0
0.145,398333.0,0.808,210800.0,0.745,0.0,10.0,9287567.0,0.292,-5.26,0.342,1072650382.0,165.995,0.829,547039623.0
0.0017,99418.0,0.668,339547.0,0.824,3.05e-06,5.0,2471743.0,0.0426,-4.164,0.137,357737050.0,163.961,0.185,454015875.0
0.529,872181.0,0.855,248133.0,0.954,0.0,0.0,11425215.0,0.205,-1.19,0.264,789922926.0,114.635,0.668,1727241246.0
0.219,14157.0,0.647,232720.0,0.822,0.0,5.0,718507.0,0.0908,-4.662,0.183,1143833476.0,160.019,0.962,128396799.0
0.337,2271.0,0.851,164041.0,0.819,0.000153,7.0,88925.0,0.0658,-5.173,0.212,42006396.0,83.154,0.903,3658044.0
0.0642,105475.0,0.893,223413.0,0.745,0.0,11.0,4097957.0,0.0943,-3.105,0.0571,981287133.0,101.018,0.872,673495248.0
0.00721,16545.0,0.877,216136.0,0.56,1.45e-06,7.0,560857.0,0.0839,-3.751,0.0596,104603335.0,119.971,0.154,20392451.0
0.276,9132.0,0.81,229283.0,0.733,6.73e-06,9.0,315368.0,0.288,-6.338,0.0444,99934776.0,125.975,0.9,26641550.0
0.199,36266.0,0.679,202008.0,0.516,0.0,0.0,1081676.0,0.0965,-6.371,0.0452,198332490.0,120.074,0.716,121559320.0
0.0541,11252.0,0.859,258789.0,0.563,0.0,1.0,431472.0,0.0685,-6.635,0.112,219355874.0,119.934,0.412,35793144.0
0.0195,12628.0,0.827,146419.0,0.571,0.0,11.0,477302.0,0.166,-7.949,0.366,99577335.0,142.034,0.62,11408003.0
0.432,75.0,0.89,176078.0,0.46,0.0,2.0,63065.0,0.11,-8.155,0.0359,105629259.0,112.555,0.677,2672481.0
0.453,13530.0,0.894,236507.0,0.404,1.57e-06,9.0,433116.0,0.0801,-5.913,0.13,114177468.0,102.009,0.759,59095041.0
0.934,561909.0,0.351,200186.0,0.296,0.0,4.0,24425840.0,0.095,-10.109,0.0333,2110573779.0,115.284,0.12,1721382178.0
0.121,7041.0,0.912,155589.0,0.774,0.0127,0.0,418647.0,0.101,-4.673,0.0455,203066841.0,119.966,0.632,25212794.0
0.256,37678.0,0.52,180823.0,0.761,4.96e-06,4.0,1480652.0,0.17,-3.093,0.0853,1322057199.0,141.971,0.286,129183587.0
0.199,147072.0,0.799,202547.0,0.539,1.66e-05,1.0,5968729.0,0.165,-6.351,0.0421,1290687019.0,136.948,0.394,886349984.0
0.549,34795.0,0.632,170770.0,0.686,0.0,6.0,2781127.0,0.2,-7.665,0.243,1424962511.0,89.949,0.329,632400004.0
0.0765,68320.0,0.596,229320.0,0.552,0.334,0.0,4030063.0,0.104,-10.278,0.097,1143264716.0,97.949,0.112,860718114.0
0.33,61104.0,0.736,219080.0,0.449,0.000162,1.0,3251468.0,0.0898,-11.462,0.425,1221083395.0,80.126,0.326,544666810.0
0.225,158.0,0.83,228600.0,0.585,0.00209,1.0,12115.0,0.0576,-5.802,0.0366,586480399.0,105.03,0.642,1381628.0
