Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
"Duki: Bzrp Music Sessions, Vol. 50",single,Bizarrap,Bizarrap,True,DUKI || BZRP Music Sessions #50,"Duki: Bzrp Music Sessions, Vol. 50",True
"Tiago PZK: Bzrp Music Sessions, Vol. 48",single,Bizarrap,Bizarrap,False,TIAGO PZK || BZRP Music Sessions #48,"Tiago PZK: Bzrp Music Sessions, Vol. 48",True
"Villano Antillano: Bzrp Music Sessions, Vol. 51",single,Bizarrap,Bizarrap,True,VILLANO ANTILLANO || BZRP Music Sessions #51,"Villano Antillano: Bzrp Music Sessions, Vol. 51",True
"Eladio Carrion: Bzrp Music Sessions, Vol. 40",single,Bizarrap,Bizarrap,True,Eladio Carrión || BZRP Music Sessions #40,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",True
Sauce Boyz 2,album,Bizarrap,Eladio Carrion,True,"Eladio Carrión Ft. Bizarrap, Duki - Sin Frenos (Video Oficial)",Sin Frenos,True
"Paulo Londra: Bzrp Music Sessions, Vol. 23",single,Bizarrap,Bizarrap,False,PAULO LONDRA || BZRP Music Sessions #23,"Paulo Londra: Bzrp Music Sessions, Vol. 23",True
Sr. Santos,album,Bizarrap,Arcangel,True,"Arcangel, Duki, Bizarrap - Bottas (Visualizer) | SR. SANTOS",Bottas,True
"L-Gante: Bzrp Music Sessions, Vol. 38",single,Bizarrap,Bizarrap,True,L-Gante || BZRP Music Sessions #38,"L-Gante: Bzrp Music Sessions, Vol.38",True
Harry's House,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - As It Was (Official Video),As It Was,True
Harry's House,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Late Night Talking (Official Video),Late Night Talking,True
Fine Line,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Watermelon Sugar (Official Video),Watermelon Sugar,True
Fine Line,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Adore You (Official Video),Adore You,True
Fine Line,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Falling (Official Video),Falling,True
Harry Styles,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Sign of the Times (Official Video),Sign of the Times,True
Harry's House,album,Harry Styles,CodStudio,False,Harry Styles - Matilda (Music Video),Matilda,False
Harry's House,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Music For a Sushi Restaurant (Official Video),Music For a Sushi Restaurant,True
Harry's House,album,Harry Styles,CodStudio,False,Harry Styles - Satellite (Music Video),Satellite,False
Fine Line,album,Harry Styles,HarryStylesVEVO,True,Harry Styles - Golden (Official Video),Golden,True
Drip Harder,album,Lil Baby,Lil Baby Official 4PF,False,"Lil Baby x Gunna - ""Drip Too Hard"" (Official Music Video)",Drip Too Hard (Lil Baby & Gunna),False
Too Hard,album,Lil Baby,Lil Baby Official 4PF,False,"Lil Baby ""Freestyle"" Official Music Video",Freestyle,False
Scary Hours 2,single,Lil Baby,RAPTRAX,False,"Drake ft. Lil Baby ""Wants and Needs"" (Music Video)",Wants and Needs (feat. Lil Baby),False
Street Gossip,album,Lil Baby,LilBabyVEVO,True,Lil Baby - Pure Cocaine (Official Music Video),Pure Cocaine,True
Harder Than Ever,album,Lil Baby,OVO Sound,False,Drake & LiL Baby - Yes Indeed - (Music Video),Yes Indeed,False
It's Only Me,album,Lil Baby,LilBabyVEVO,True,Lil Baby - California Breeze (Official Video),California Breeze,True
Certified Lover Boy,album,Lil Baby,Revive Music,False,Drake - Girls Want Girls (Music Video) ft. Lil Baby,Girls Want Girls (with Lil Baby),False
The Off-Season,album,Lil Baby,Revive Music,False,J. Cole - p r i d e . i s . t h e . d e v i l [feat. Lil Baby] (Music Video),p r i d e . i s . t h e . d e v i l (with Lil Baby),False
On Me,single,Lil Baby,LilBabyVEVO,True,Lil Baby - On Me,On Me,True
Quality Control: Control The Streets Volume 2,album,Lil Baby,QualityControlVEVO,True,"Quality Control, Lil Baby, & DaBaby - ""Baby"" (Official Music Video)",Baby (Lil Baby feat. DaBaby),True
RUSH!,album,Måneskin,ManeskinVEVO,True,Måneskin - THE LONELIEST (Official Video),THE LONELIEST,True
Chosen,album,Måneskin,Music Star,False,Måneskin - Beggin’ (Official Video),Beggin',False
Teatro d'ira - Vol. I,album,Måneskin,ManeskinVEVO,True,Måneskin - I WANNA BE YOUR SLAVE (Official Video),I WANNA BE YOUR SLAVE,True
RUSH!,album,Måneskin,ManeskinVEVO,True,Måneskin - SUPERMODEL (Official Video),SUPERMODEL,True
RUSH!,album,Måneskin,ManeskinVEVO,True,Måneskin - GOSSIP ft. Tom Morello,GOSSIP (feat. Tom Morello),True
RUSH!,album,Måneskin,The Late Late Show with James Corden,True,Måneskin: Baby Said,BABY SAID,True
Teatro d'ira - Vol. I,album,Måneskin,ManeskinVEVO,True,Måneskin - ZITTI E BUONI (Official Video – Sanremo & EUROVISION 2021 Winners),ZITTI E BUONI,True
Teatro d'ira - Vol. I,album,Måneskin,GioiaNera20,False,Måneskin - CORALINE (FanVideo),CORALINE,False
RUSH!,album,Måneskin,ManeskinVEVO,True,Måneskin - TIMEZONE (Lyric Video),TIMEZONE,True
RUSH!,album,Måneskin,ManeskinVEVO,True,Måneskin - OWN MY MIND (Lyric Video),OWN MY MIND,True
MAXIDENT,album,Stray Kids,JYP Entertainment,True,"Stray Kids ""CASE 143"" M/V",CASE 143,True
ODDINARY,album,Stray Kids,JYP Entertainment,True,"Stray Kids ""MANIAC"" M/V",MANIAC,True
GO LIVE,album,Stray Kids,JYP Entertainment,True,"Stray Kids ""神메뉴(God's Menu)"" M/V",God’s Menu,True
NOEASY,album,Stray Kids,JYP Entertainment,True,"Stray Kids ""소리꾼(Thunderous)"" M/V",Thunderous,True
MAXIDENT,album,Stray Kids,JYP Entertainment,True,"Stray Kids ＜MAXIDENT＞ UNVEIL : TRACK 3-2 ""TASTE (리노, 현진, 필릭스) (TASTE (Lee Know, Hyunjin, Felix))""","TASTE (Lee Know, Hyunjin, Felix)",True
NOEASY,album,Stray Kids,Stray Kids,True,"Stray Kids ""강박 (방찬, 현진)(Red Lights (Bang Chan, Hyunjin))” Video","Red Lights (Bang Chan, Hyunjin)",True
IN LIFE,album,Stray Kids,JYP Entertainment,True,"Stray Kids ""Back Door"" M/V",Back Door,True
ODDINARY,album,Stray Kids,Chaeryfied✨,False,Stray kids- CHARMER MV,Charmer,False
SKZ-REPLAY,album,Stray Kids,JYP Entertainment,True,"Stray Kids ""FAM (Korean Ver.)"" M/V",FAM (Korean Ver.),True
SKZ-REPLAY,album,Stray Kids,Stray Kids - Topic,True,Deep end (필릭스) Deep end (Felix),Deep end (Felix),True
MICRODOSIS,album,Mora,Mora,True,"Mora, Feid - LA INOCENTE (Video Oficial) | MICRODOSIS",LA INOCENTE,True
MICRODOSIS,album,Mora,Mora,True,"Mora, Jhay Cortez - MEMORIAS (Video Oficial) | MICRODOSIS",MEMORIAS,True
LACONE,single,Mora,Polimá Westcoast,False,"Polimá Westcoast, Quevedo, Mora – LACONE ( Video Oficial )",LACONE,True
PARAÍSO,album,Mora,Mora,True,"Mora, Quevedo - APA (Visualizer) | PARAÍSO",APA,True
Volando (Remix),single,Mora,LatinHype,False,Mora x Bad Bunny x Sech - Volando Remix,Volando - Remix,False
PARAÍSO,album,Mora,Mora,True,Mora - COMO HAS ESTAU? (Visualizer) | PARAÍSO,COMO HAS ESTAU?,True
YHLQMDLG,album,Mora,Bad Bunny,True,BAD BUNNY x MORA - UNA VEZ | YHLQMDLG (Video Oficial),Una Vez,True
PARAÍSO,album,Mora,Mora,True,Mora - DOMINGO DE BOTE - (Visualizer) | PARAISO,DOMINGO DE BOTE,True
MICRODOSIS,album,Mora,Mora,True,"Mora, Sech - TUS LÁGRIMAS (Visualizer) | MICRODOSIS",TUS LÁGRIMAS,True
Primer Dia de Clases,album,Mora,Mora,True,Mora x Jhay Cortez - 512 (Video Oficial),512,True
Sigan Hablando,album,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida x Grupo Frontera - Bebe Dame,Bebe Dame,False
Billete Grande (En Vivo),single,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida X Edgardo Nuñez - Billete Grande (En Vivo 2022),Billete Grande (En Vivo),False
Pa Que Hablen,album,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida x Natanael Cano - CH Y LA PIZZA [Official Video],Ch y la Pizza,False
911 (En Vivo),single,Fuerza Regida,Rancho Humilde,False,Fuerza Regida x Grupo Frontera - 911 [Official Video],911 - En Vivo,False
"Del Barrio Hasta Aquí, Vol. 2",album,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida - Me Acostumbre a Lo Bueno [Official Video],Me Acostumbre A Lo Bueno,False
Pa Que Hablen,album,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida X Juanpa Salazar - MI TERRE CLN  [Oficial Video],Mi Terre CLN,False
No Le Aflojo,single,Fuerza Regida,Rancho Humilde,True,Los Gemelos De Sinaloa x Fuerza Regida - No Le Aflojo [En Vivo],No Le Aflojo,True
Con Los Pies en La Tierra,album,Fuerza Regida,DEL Records,True,"Se Acabo - (Video Oficial) - Lenin Ramirez, Fuerza Regida y Banda Renovacion",Se Acabo (En Vivo),True
Sigan Hablando,album,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida y Alfredo Olivas - Me Toco Morir [Video Oficial],Me Tocó Morir,False
Pa Que Hablen,album,Fuerza Regida,FUERZA REGIDA,False,Fuerza Regida X Peso Pluma - Igualito A Mi Apá [Oficial Video],Igualito a Mi Apá,False
Divinely Uninspired To A Hellish Extent,album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Someone You Loved,Someone You Loved,True
Forget Me,single,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Forget Me (Official Video),Forget Me,True
Divinely Uninspired To A Hellish Extent (Extended Edition),album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Before You Go (Official Video),Before You Go,True
Pointless,single,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Pointless (Official Video),Pointless,True
Divinely Uninspired To A Hellish Extent,album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Bruises (Official Video),Bruises,True
Divinely Uninspired To A Hellish Extent,album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Hold Me While You Wait (Interlude Session),Hold Me While You Wait,True
Divinely Uninspired To A Hellish Extent,album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Forever (Amazon Original),Forever,True
Divinely Uninspired To A Hellish Extent,album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Grace,Grace,True
Spotify Singles,single,Lewis Capaldi,Broken Hearts Parade,False,Lewis Capaldi - Drivers License,drivers license - Spotify Singles,False
Divinely Uninspired To A Hellish Extent (Extended Edition),album,Lewis Capaldi,LewisCapaldiVEVO,True,Lewis Capaldi - Leaving My Love Behind (Official Lyric Video),Leaving My Love Behind,True
The Motto,single,Ava Max,Tiësto,True,Tiësto & Ava Max - The Motto (Official Music Video),The Motto,True
Heaven & Hell,album,Ava Max,Ava Max,True,Ava Max - Kings & Queens [Official Music Video],Kings & Queens,True
Heaven & Hell,album,Ava Max,Ava Max,True,Ava Max - Sweet but Psycho [Official Music Video],Sweet but Psycho,True
Diamonds & Dancefloors,album,Ava Max,Ava Max,True,Ava Max - Dancing’s Done (Official Visualizer),Dancing’s Done,True
Heaven & Hell,album,Ava Max,Ava Max,True,Ava Max - My Head & My Heart [Official Music Video],My Head & My Heart,True
Diamonds & Dancefloors,album,Ava Max,Ava Max,True,Ava Max - Million Dollar Baby (Official Video),Million Dollar Baby,True
Diamonds & Dancefloors,album,Ava Max,Ava Max,True,Ava Max - Maybe You’re The Problem (Official Video),Maybe You’re The Problem,True
Into Your Arms (feat. Ava Max),single,Ava Max,Neko GMV,False,Ava Max - Into Your Arms (Music Video),Into Your Arms (feat. Ava Max),False
Diamonds & Dancefloors,album,Ava Max,Ava Max,True,Ava Max - Weapons (Official Audio),Weapons,True
World Of Walker,album,Ava Max,Alan Walker,True,"Alan Walker & Ava Max - Alone, Pt. II","Alone, Pt. II",True
Lyfë,album,Yeat,Lyrical Lemonade,False,Yeat - Out thë way (Directed by Cole Bennett),Out thë way,False
Up 2 Më,album,Yeat,Unreleased Teen,False,Yeat - Monëy so big (Official Music Video),Monëy so big,False
Lyfë,album,Yeat,LyricalOranged,False,Yeat - Flawlëss (feat. Lil Uzi Vert) [Music Video],Flawlëss (feat. Lil Uzi Vert),False
Lyfë,album,Yeat,Yeat Music,False,Talk [Official Audio],Talk,False
4L,album,Yeat,Moshpxt,False,YEAT - SORRY BOUT THAT ( Official Music Video ) [ Created by @MOSHPXT & @speederrr ],Sorry Bout That,False
2 Alivë,album,Yeat,Yeat Music,False,On tha line [Official Music Video],On tha linë,False
2 Alivë,album,Yeat,Lyrical Lemonade,False,Yeat - Poppin (Directed by Cole Bennett),Poppin,False
Up 2 Më,album,Yeat,Yeat Music,False,Gët Busy [Official Music Video],Gët Busy,False
Up 2 Më,album,Yeat,Yeat - Topic,True,Dëserve it,Dëserve it,True
Up 2 Më,album,Yeat,DotComNirvan,False,YEAT - Turban [Dir. by @DotComNirvan],Turban,True
Gloria,album,Kim Petras,SamSmithVEVO,True,"Sam Smith, Kim Petras - Unholy (Official Music Video)",Unholy (feat. Kim Petras),True
Unholy (feat. Kim Petras) [ACRAZE Remix],single,Kim Petras,SamSmithVEVO,True,"Sam Smith, Kim Petras - Unholy (ACRAZE Remix / Visualiser)",Unholy (feat. Kim Petras) - ACRAZE Remix,True
brrr,single,Kim Petras,Kim Petras,False,Kim Petras - brrr (official lyric video),brrr,True
Unholy (feat. Kim Petras) [ACRAZE Remix],single,Kim Petras,SamSmithVEVO,True,"Sam Smith, Kim Petras - Unholy (Disclosure Remix)",Unholy (feat. Kim Petras) - Disclosure Remix,True
Slut Pop,album,Kim Petras,KimPetrasVEVO,True,Kim Petras - Treat Me Like A Slut (Audio),Treat Me Like A Slut,True
Unholy (feat. Kim Petras) [David Guetta Acid Remix],single,Kim Petras,SamSmithVEVO,True,"Sam Smith, Kim Petras - Unholy (David Guetta Acid Remix / Visualiser)",Unholy (feat. Kim Petras) - David Guetta Acid Remix,True
Can't Do Better,single,Kim Petras,Kim Petras,False,Can't Do Better - Kim Petras (Official Lyric Video),Can't Do Better,True
Pop 2,album,Kim Petras,Charli XCX,True,Charli XCX - Unlock It (feat. Kim Petras and Jay Park) [Official Visualizer],Unlock it (Lock It) - feat. Kim Petras and Jay Park,True
Heart to Break,single,Kim Petras,Kim Petras,False,Heart to Break - Kim Petras (Official Music Video),Heart to Break,True
Made You Look (feat. Kim Petras),single,Kim Petras,MeghanTrainorVEVO,True,Meghan Trainor - Made You Look (Offical Lyric Video) ft. Kim Petras,Made You Look (feat. Kim Petras),True
Un Verano Sin Ti,album,Jhayco,BailaMundo,False,"Bad Bunny ft. Jhayco ""Tarot"" (Video Musical)",Tarot,False
En La De Ella,single,Jhayco,JhayCortezVEVO,True,"Jhayco, Feid, Sech - En La De Ella (Official Video)",En La De Ella,True
MICRODOSIS,album,Jhayco,Mora,True,"Mora, Jhay Cortez - MEMORIAS (Video Oficial) | MICRODOSIS",MEMORIAS,True
EL ÚLTIMO TOUR DEL MUNDO,album,Jhayco,Bad Bunny,True,BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),DÁKITI,True
Famouz,album,Jhayco,JhayCortezVEVO,True,"Jhay Cortez, J. Balvin, Bad Bunny - No Me Conoce (Remix)",No Me Conoce - Remix,True
CÓMO SE SIENTE (Remix),single,Jhayco,REGGAETON X100PRE 🎶🔥,False,Jhay Cortez - COMO SE SIENTE (Remix) Ft. Bad Bunny (Official Video),CÓMO SE SIENTE - Remix,False
Primer Dia de Clases,album,Jhayco,Mora,True,Mora x Jhay Cortez - 512 (Video Oficial),512,True
Timelezz,album,Jhayco,JhayCortezVEVO,True,"Jhay Cortez, Anuel AA - Ley Seca (Official Video)",Ley Seca,True
Los Legendarios 001,album,Jhayco,Wisin,False,"Wisin, Jhay Cortez, Los Legendarios - ""Fiel"" (Official Video)",Fiel,True
911 (Remix),single,Jhayco,LatinHype,False,"Sech, Jhay Cortez - 911 Remix",911 (Remix),False
Please Excuse Me for Being Antisocial,album,Roddy Ricch,Roddy Ricch,True,Roddy Ricch - The Box [Official Music Video],The Box,True
Perfect Ten,album,Roddy Ricch,MustardVEVO,True,Mustard - Ballin’ ft. Roddy Ricch,Ballin' (with Roddy Ricch),True
Twelve Carat Toothache,album,Roddy Ricch,PostMaloneVEVO,True,Post Malone - Cooped Up ft. Roddy Ricch,Cooped Up (with Roddy Ricch),True
Feed Tha Streets III,album,Roddy Ricch,Roddy Ricch,True,Roddy Ricch - Twin (ft. Lil Durk) [Official Music VIdeo],Twin (feat. Lil Durk),True
Feed Tha Streets II,album,Roddy Ricch,Roddy Ricch,True,Roddy Ricch - Down Below [Official Music Video] (Dir. by JMP),Down Below,True
Top Shotta,album,Roddy Ricch,NLE CHOPPA,True,NLE Choppa - Walk Em Down feat. Roddy Ricch [Official Music Video],Walk Em Down (feat. Roddy Ricch),True
Please Excuse Me for Being Antisocial,album,Roddy Ricch,Angry Studios,False,Roddy Ricch - High Fashion - feat. Mustard (Music Video),High Fashion (feat. Mustard),False
Free Dem Boyz,album,Roddy Ricch,42DuggVEVO,True,"42 Dugg, Roddy Ricch - 4 Da Gang (Official Music Video)",4 Da Gang (with Roddy Ricch),True
LIVE LIFE FAST,album,Roddy Ricch,Roddy Ricch,True,Roddy Ricch - Late At Night [Official Music Video],late at night,True
Feed Tha Streets III,album,Roddy Ricch,Roddy Ricch,True,Roddy Ricch - Aston Martin Truck [Official Music Video],Aston Martin Truck,True
10:35,single,Tate McRae,Tiësto,True,Tiësto - 10:35 (feat. Tate McRae) (Official Music Video),10:35,True
you broke me first,single,Tate McRae,TateMcRaeVEVO,True,Tate McRae - you broke me first (Official Video),you broke me first,True
all the things i never said,single,Tate McRae,TateMcRaeVEVO,True,Tate McRae - friends don't look at friends that way (Official Video),that way,True
i used to think i could fly,album,Tate McRae,TateMcRaeVEVO,True,Tate McRae - she's all i wanna be (Official Video),she's all i wanna be,True
uh oh,single,Tate McRae,TateMcRaeVEVO,True,Tate McRae - uh oh (Visualizer),uh oh,True
You,single,Tate McRae,RegardVEVO,True,"Regard, Troye Sivan, Tate McRae - You (Official Video)",You,True
One Day,single,Tate McRae,Tate McRae,True,i wrote a song... one day // tate mcrae,One Day,True
Teenage Mind,single,Tate McRae,Tate McRae,False,Tate McRae - Teenage Mind (Official Music Video),Teenage Mind,True
i used to think i could fly,album,Tate McRae,TateMcRaeVEVO,True,Tate McRae - feel like shit (Official Video),feel like shit,True
i used to think i could fly,album,Tate McRae,TateMcRaeVEVO,True,Tate McRae - chaotic (Lyric Video),chaotic,True
Back To The Game,album,Paulo Londra,Paulo Londra,True,Paulo Londra - A Veces (feat. Feid) [Official Video],A Veces (feat. Feid),True
Back To The Game,album,Paulo Londra,Paulo Londra,True,Paulo Londra - Por Deporte (Official Video),Por Deporte,True
Homerun,album,Paulo Londra,Paulo Londra,True,Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),Nena Maldición (feat. Lenny Tavárez),True
"Paulo Londra: Bzrp Music Sessions, Vol. 23",single,Paulo Londra,Bizarrap,False,PAULO LONDRA || BZRP Music Sessions #23,"Paulo Londra: Bzrp Music Sessions, Vol. 23",False
Homerun,album,Paulo Londra,Paulo Londra,True,Paulo Londra - Tal Vez (Official Video),Tal Vez,True
Back To The Game,album,Paulo Londra,Paulo Londra,True,Paulo Londra - Plan A (Official Video),Plan A,True
Te Amo,single,Paulo Londra,Piso 21,True,Piso 21 ft. Paulo Londra - Te Amo (Video Oficial),Te Amo,True
Me Tiene Mal,single,Paulo Londra,Paulo Londra,True,Paulo Londra - Me Tiene Mal (Official Video),Me Tiene Mal,True
Homerun,album,Paulo Londra,Paulo Londra,True,Paulo Londra - Adan y Eva (Official Video),Adan y Eva,True
Homerun,album,Paulo Londra,Paulo Londra,True,Paulo Londra - Por Eso Vine (Official Video),Por Eso Vine,True
PTSD,album,Rod Wave,RodWave,False,Rod Wave - Heart On Ice (Official Music Video),Heart On Ice,False
Pray 4 Love (Deluxe),album,Rod Wave,RodWave,False,Rod Wave -  Rags2Riches 2 ft Lil Baby (Official Music Video),Rags2Riches 2 (feat. Lil Baby),False
SoulFly,album,Rod Wave,RodWave,False,Rod Wave - Street Runner (Official Video),Street Runner,False
Beautiful Mind,album,Rod Wave,RodWave,False,Rod Wave - Alone (Official Video),Alone,False
SoulFly,album,Rod Wave,RodWave,False,Rod Wave - Tombstone (Official Video),Tombstone,False
Jupiter's Diary: 7 Day Theory,album,Rod Wave,RodWave,False,Rod Wave - Break My Heart (Official Video),Break My Heart,False
Beautiful Mind,album,Rod Wave,RodWave,False,Rod Wave - Sweet Little Lies (Official Audio),Sweet Little Lies,False
Pray 4 Love,album,Rod Wave,RodWave,False,Rod Wave - Girl Of My Dreams (Official Music Video),Girl Of My Dreams,False
Ghetto Gospel,album,Rod Wave,RodWave,False,Rod Wave - Chip On My Shoulder (Official Audio),Chip On My Shoulder,False
Pray 4 Love,album,Rod Wave,RodWave,False,Rod Wave - The Greatest (Official Music Video),The Greatest,False
Vida Cara,album,Xamã,Orochi,True,"Orochi ""SEREIA 🧜🏼‍♀️"" feat.  Ryan SP, Xamã, Oruam ( prod. NeoBeats, Kizzy )",Sereia,True
MAMA.CITA (hasta la vista),single,Xamã,LuisaSonzaVEVO,True,"Luísa Sonza, Xamã - MAMA.CITA (hasta la vista)",MAMA.CITA (hasta la vista),True
Poesia Acústica 13,compilation,Xamã,PineappleStormTV,True,"Poesia Acústica #13 - Mc Cabelinho,Tz da Coronel,Oruam,L7NNON,Chefin,N.I.N.A, Chris,Xamã,Luisa Sonza",Poesia Acústica 13,True
Malvadão 3,single,Xamã,Bagua Records,True,Xamã - Malvadão 3 (Prod. DJ Gustah & Neobeats),Malvadão 3,True
Poesia Acústica #6: Era uma Vez,single,Xamã,PineappleStormTV,True,"Poesia Acústica #13 - Mc Cabelinho,Tz da Coronel,Oruam,L7NNON,Chefin,N.I.N.A, Chris,Xamã,Luisa Sonza",Poesia Acústica #6: Era uma Vez,True
Poesia Acústica #9: Melhor Forma,single,Xamã,PineappleStormTV,True,"Poesia Acústica #13 - Mc Cabelinho,Tz da Coronel,Oruam,L7NNON,Chefin,N.I.N.A, Chris,Xamã,Luisa Sonza",Poesia Acústica #9: Melhor Forma,True
Poesia Acústica 11: Nada Mudou,single,Xamã,PineappleStormTV,True,"Poesia Acústica #11 - Nada Mudou - L7NNON, CHRIS, Ryan SP, Lourena, Xamã, Azzy, Mc Poze, Cynthia Luz",Poesia Acústica 11: Nada Mudou,True
Puto de Luxo,single,Xamã,Xamã,False,Xamã feat. Vulgo FK - Puto de Luxo (Prod. DJ Gustah e Pedro Lotto),Puto de Luxo,True
Pecado Capital,album,Xamã,Bagua Records,True,Xamã feat Matuê - Luxúria,Luxúria,True
Zodíaco,album,Xamã,Bagua Records,True,Xamã feat. Marília Mendonça - Leão (Clipe Oficial) (Prod. NeoBeats),Leão,True
CAIRO,single,Ovy On The Drums,KarolGVEVO,True,"KAROL G, Ovy On The Drums - Cairo (Official Video)",CAIRO,True
DONDE QUIERO ESTAR,album,Ovy On The Drums,Quevedo,True,"Sin Señal - Quevedo, Ovy On The Drums",SIN SEÑAL,True
CHAO BEBE,single,Ovy On The Drums,Ovy On The Drums,False,"Ozuna, Ovy On The Drums - CHAO BEBE (Official Video)",CHAO BEBE,True
Inolvidable,single,Ovy On The Drums,Ovy On The Drums,False,Beéle & Ovy On The Drums - Inolvidable (Official Video),Inolvidable,True
Siempre Blessd,album,Ovy On The Drums,BLESSD EL BENDITO 💙,False,BLESSD ❌ MYKE TOWERS ❌ OVY ON THE DRUMS | TENDENCIA GLOBAL 🌎 ( OFFICIAL VIDEO ),Tendencia Global,False
Miedito o Qué? (feat. KAROL G),single,Ovy On The Drums,Ovy On The Drums,False,"Ovy On The Drums Ft KAROL G, Danny Ocean - Miedito o Qué? (Official Video)",Miedito o Qué? (feat. KAROL G),True
Ya No Somos,single,Ovy On The Drums,Ovy On The Drums,False,Beéle & Ovy On The Drums - Inolvidable (Official Video),Ya No Somos,True
Sigo Buscandote,single,Ovy On The Drums,Ovy On The Drums,False,Mau y Ricky & Ovy On The Drums - Sigo Buscandote (Official Video),Sigo Buscandote,True
BORRACHA,single,Ovy On The Drums,Warner Música,True,"Felix Klain, Ovy On The Drums - BORRACHA (Official Video)",BORRACHA,True
Ya no me llames,single,Ovy On The Drums,Ovy On The Drums,False,TINI & Ovy On The Drums - YA NO ME LLAMES (Official Video),Ya no me llames,True
Ai Preto,single,L7NNON,L7NNON,True,L7NNON & BIEL DO FURDUNCINHO - Ai Preto 🤤 (part. Bianca),Ai Preto,True
Poesia Acústica 13,compilation,L7NNON,PineappleStormTV,True,"Poesia Acústica #13 - Mc Cabelinho,Tz da Coronel,Oruam,L7NNON,Chefin,N.I.N.A, Chris,Xamã,Luisa Sonza",Poesia Acústica 13,True
Digo ou Não Digo (Ao Vivo),single,L7NNON,João Gomes Cantor,True,DIGO OU NÃO DIGO - João Gomes e @L7NNON1994 (DVD Acredite - Ao Vivo em Recife),Digo ou Não Digo - Ao Vivo,True
Imaterial (Deluxe),album,L7NNON,Filipe Ret,True,Filipe Ret - Corte Americano part. L7NNON,Corte Americano,True
Sem Dó,single,L7NNON,Bruno Souza,False,Matuê feat. L7nnon - Inveja Verde/Sem Dó (Official Music Video),Sem Dó,False
Poesia Acústica #9: Melhor Forma,single,L7NNON,PineappleStormTV,True,Poesia Acústica #9 - Melhor Forma - L7NNON | CHRIS | Xamã | Lourena | Cesar Mc | Djonga | Filipe Ret,Poesia Acústica #9: Melhor Forma,True
LUME,album,L7NNON,Filipe Ret,True,Filipe Ret ✦ Konteiner (Ft. L7NNON - Prod. Nagalli),Konteiner,True
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),single,L7NNON,L7NNON,True,L7NNON & OS HAWAIANOS  - Desenrola Bate Joga de Ladin (Dj Bel da Cdd e Biel do Furduncinho),Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),True
Freio da Blazer,single,L7NNON,L7NNON,True,L7NNON - Freio da Blazer 🚨 (prod. Ajaxx & Galdino),Freio da Blazer,True
Poesia Acústica 11: Nada Mudou,single,L7NNON,PineappleStormTV,True,"Poesia Acústica #11 - Nada Mudou - L7NNON, CHRIS, Ryan SP, Lourena, Xamã, Azzy, Mc Poze, Cynthia Luz",Poesia Acústica 11: Nada Mudou,True
Mon Amour (Remix),single,Aitana,EL GURU ♪,False,"Zzoilo, Aitana - Mon Amour Remix (Music Video)",Mon Amour - Remix,False
mariposas,single,Aitana,sangiovanniVEVO,True,"sangiovanni, Aitana - mariposas",mariposas,True
Formentera,single,Aitana,AitanaVEVO,True,"Aitana, Nicki Nicole - Formentera (Vídeo Oficial)",Formentera,True
Quieres,single,Aitana,AitanaVEVO,True,"Aitana, Emilia, Ptazeta - Quieres",Quieres,True
Balas Perdidas (Edición Especial),album,Aitana,MoratVEVO,True,"Morat, Aitana - Presiento",Presiento,True
Spoiler,album,Aitana,AitanaVEVO,True,Aitana - Vas A Quedarte,Vas A Quedarte,True
Más De Lo Que Aposté,single,Aitana,AitanaVEVO,True,"Aitana, Morat - Más De Lo Que Aposté",Más De Lo Que Aposté,True
En El Coche,single,Aitana,AitanaVEVO,True,Aitana - En El Coche (Video Oficial),En El Coche,True
