Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
The Eminem Show,album,Eminem,EminemVEVO,True,Eminem - Sing For The Moment (Official Music Video),Sing For The Moment,True
Recovery,album,Eminem,EminemVEVO,True,Eminem - Not Afraid,Not Afraid,True
G I R L,album,Pharrell Williams,PharrellWilliamsVEVO,True,Pharrell Williams - Happy (from Despicable Me 2) [Ballroom Version],"Happy - From ""Despicable Me 2""",True
Down In Atlanta,single,Pharrell Williams,PharrellWilliamsVEVO,True,"Pharrell Williams, Travis Scott - Down In Atlanta (Official Lyric Video)",Down In Atlanta,True
Funk Wav Bounces Vol.1,album,Pharrell Williams,CalvinHarrisVEVO,True,"Calvin Harris - Feels (Official Video) ft. Pharrell Williams, Katy Perry, Big Sean","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",True
Cash In Cash Out,single,Pharrell Williams,PharrellWilliamsVEVO,True,"Pharrell Williams - Cash In Cash Out (Official Video) ft. 21 Savage, Tyler, The Creator",Cash In Cash Out,True
Funk Wav Bounces Vol. 2,album,Pharrell Williams,CalvinHarrisVEVO,True,"Calvin Harris - Stay With Me (Official Video) ft Justin Timberlake, Halsey & Pharrell","Stay With Me (with Justin Timberlake, Halsey & Pharrell)",True
Hit Different,single,Pharrell Williams,SZAVEVO,True,SZA - Hit Different (Official Video) ft. Ty Dolla $ign,Hit Different,True
Luv Is Rage 2,album,Pharrell Williams,LIL UZI VERT,True,Lil Uzi Vert - Neon Guts feat. Pharrell Williams [Official Visualizer],Neon Guts (feat. Pharrell Williams),True
CALL ME IF YOU GET LOST,album,Pharrell Williams,"Tyler, The Creator",False,"Tyler, The Creator - JUGGERNAUT (Official Video)",JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),True
Just A Cloud Away,single,Pharrell Williams,Pharrell Williams - Topic,True,Just A Cloud Away,Just A Cloud Away,True
The Neptunes Present... Clones,album,Pharrell Williams,PharrellWilliamsVEVO,True,Pharrell - Frontin' (Official HD Video) ft. Jay-Z,Frontin' (feat. Jay-Z) - Club Mix,True
lovely (with Khalid),single,Khalid,BillieEilishVEVO,True,"Billie Eilish, Khalid - lovely",lovely (with Khalid),True
Numb,single,Khalid,MarshmelloVEVO,True,"Marshmello, Khalid - Numb (Official Video)",Numb,True
Silence,single,Khalid,Marshmello,False,Marshmello - Silence Ft. Khalid (Official Music Video),Silence,True
American Teen,album,Khalid,KhalidVEVO,True,Khalid - Young Dumb & Broke (Official Video),Young Dumb & Broke,True
FRIENDS KEEP SECRETS,album,Khalid,benny blanco,False,"benny blanco, Halsey & Khalid – Eastside (official video)",Eastside (with Halsey & Khalid),True
Suncity,album,Khalid,KhalidVEVO,True,Khalid - Better (Official Video),Better,True
American Teen,album,Khalid,KhalidVEVO,True,Khalid - Location (Official Video),Location,True
American Teen,album,Khalid,KhalidVEVO,True,Khalid - 8TEEN (Official Lyric Video),8TEEN,True
No.6 Collaborations Project,album,Khalid,Ed Sheeran,True,Ed Sheeran - Beautiful People (feat. Khalid) [Official Music Video],Beautiful People (feat. Khalid),True
Love Lies (with Normani),single,Khalid,KhalidVEVO,True,Khalid & Normani - Love Lies (Official Video),Love Lies (with Normani),True
"Shakira: Bzrp Music Sessions, Vol. 53",single,Shakira,Bizarrap,True,SHAKIRA || BZRP Music Sessions #53,"Shakira: Bzrp Music Sessions, Vol. 53",True
Monotonía,single,Shakira,shakiraVEVO,True,"Shakira, Ozuna - Monotonía (Official Video)",Monotonía,True
Te Felicito,single,Shakira,shakiraVEVO,True,"Shakira, Rauw Alejandro - Te Felicito (Official Video)",Te Felicito,True
"Oral Fixation, Vol. 2 (Expanded Edition)",album,Shakira,shakiraVEVO,True,Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,Hips Don't Lie (feat. Wyclef Jean),True
